Employer,CEO,CEOCompensation
Hess Corporation,"Hess, John B.",2245.953
Western Union,Hikmet Ersek,824.18
Avago Technologies,Hock E. Tan,1720.2596
Starbucks,Howard D. Schultz,2146.6454
Best Buy,Hubert Joly,1388.1219
Monsanto Company,Hugh Grant,1343.6483
Pfizer,Ian C. Read,2328.3048
Colgate-Palmolive,Ian Cook,1453.1582
PepsiCo,Indra K. Nooyi,2248.5574
3M,Inge G. Thulin,2011.5589
Mondelez International,Irene Rosenfeld,2103.9946
Computer Sciences Corp,J. Michael Lawrie,1326.7195
GameStop,J. Paul Raines,860.4576
Chevron,J.S. Watson,2597.0417
Cameron,Jack B. Moore,1026.4287
Navient,Jack Remondi,661.3724
First Solar,James A. Hughes,377.6136
T. Rowe Price,"James Aloysius Charles Kennedy, CFA",890.2148
American Tower,"James D. Taiclet, Jr.",1270.4773
J.P. Morgan,James Dimon,2770.1709
Cablevision Systems,James L. Dolan,2370.2403
LyondellBasell,James L. Gallogly,1319.299
"NextEra Energy, Inc.",James L. Robo,1218.3296
Ameriprise,James M. Cracchiolo,2445.5192
Red Hat,James M. Whitehurst,669.2552
Morgan Stanley,James P. Gorman,2327.0044
BorgWarner,James R. Verrier,1000.523
Mosaic Company (Minnesota),James T. Prokopanko,1482.0237
W.W. Grainger,James T. Ryan,771.146
Travelers Companies,Jay S. Fishman,2043.5381
Level 3 Communications,Jeff K. Storey,1085.0861
Whirlpool,Jeff M. Fettig,1754.4567
Fiserv,Jeffery W.Yabuki,827.5917
Intercontinental Exchange,Jeffrey C. Sprecher,1062.1045
Time Warner,Jeffrey L. Bewkes,3290.3139
Hormel,Jeffrey M. Ettinger,966.2613
Vertex Pharmaceuticals,Jeffrey M. Leiden,3663.5468
Amazon.com,Jeffrey P. Bezos,168.184
GE,Jeffrey R. Immelt,3725.0774
Mohawk Industries,Jeffrey S. Lorberbaum,500.5702
Expeditors,Jeffrey S. Musser,508.0036
NVIDIA,Jen-Hsun Huang,602.263
Sealed Air Corporation,Jerome A. Peribere,1196.3159
Kellogg Company,John A. Bryant,925.8243
Eli Lilly,"John C. Lechleiter, Ph.D.",1448.1142
Gilead Sciences,John C. Martin,1895.7994
Chubb Corp,John D. Finnegan,1784.1294
Michael Kors,John D. Idol,1355.922
Omnicom,John D. Wren,2401.4697
Stanley Black & Decker,John F. Lundgren,1313.7482
"Coca-Cola Enterprises, Inc.","John Franklin Brock, III",1126.7498
Wells Fargo,John G. Stumpf,2142.6391
McKesson,John H. Hammergren,2591.9882
eBay,"John J. Donahoe, II",1405.0057
Nucor,John J. Ferriola,894.1639
Union Pacific,John J. Koraleski,2814.4047
F5 Networks,John McAdam,814.3742
Con Edison,John McAvoy,968.5688
J.B. Hunt,"John N. Roberts, III",434.647
People's United Bank,John P. Barnes,369.8121
The Hershey Company,John P. Bilbrey,1777.7401
Altera,John P. Daane,724.871
C.H. Robinson Worldwide,John P. Wiehoff,502.9488
Devon Energy,John Richels,2161.103
Prudential,John Robert Strangfeld,3748.3092
Cisco Systems,John T. Chambers,1648.8184
FMC Technologies,John T. Gremp,1389.2357
International Paper,John V. Faraci,1603.2223
Legg Mason,Joseph A. Sullivan,1154.862
Perrigo,Joseph C. Papa,1894.554
State Street,Joseph L. Hooley,1884.2196
Pepco Holdings,Joseph M. Rigby,722.7146
EMC,Joseph M. Tucci,1120.3318
Anthem,Joseph R. Swedish,1353.2549
Valero Energy,Joseph W. Gorder,1605.6949
Zoetis,Juan Ramn Alaix,763.6726
American Express,K.I. Chenault,2279.6083
Rockwell Automation,Keith D. Nosbusch,847.3582
Harley-Davidson,Keith E. Wandell,918.369
Masco,Keith J. Allman,475.0833
BB&T,Kelly S. King,1411.8763
General Mills,Kendall J. Powell,1160.4484
Merck,Kenneth C. Frazier,2502.937
Scripps Networks Interactive,Kenneth W. Lowe,1183.8015
DaVita,Kent J. Thiry,1379.1023
Stryker,Kevin A. Lobo,912.0147
Under Armour,Kevin A. Plank,355.619
SCANA,Kevin B. Marsh,571.0448
Kohl's,Kevin Mansell,966.8796
Fifth Third,Kevin T. Kabat,742.7396
Alcoa,"Klaus-Christian Kleinfeld, Ph.D., rer. pol., Dipl.",1815.8522
Bristol-Myers Squibb,Lamberto Andreotti,2706.2382
Dr Pepper Snapple Group,Larry D. Young,967.1181
Principal Financial Group,Larry D. Zimpleman,1691.9388
CVS Health,Larry J. Merlo,3235.0733
BlackRock,Laurence D. Fink,2386.2458
Pall,Lawrence D. Kingsley,947.1578
Oracle,Lawrence J. Ellison,6726.1251
Newfield Exploration,Lee K. Boothby,671.6841
Marathon Oil,Lee M. Tillman,1149.8067
Entergy,Leo P. Denault,1182.4034
Regeneron Pharma.,Leonard S. Schleifer,4196.5424
L Brands,Leslie H. Wexner,2409.4036
